service_id,date,exception_type
TA+0m400+7,20260418,2
TA+0m400+7,20260502,2
TA+0m400+7,20260509,2
TA+0m400+7,20260516,2
TA+7n500+7,20260419,2
TA+7n500+7,20260503,2
TA+7n500+7,20260510,2
TA+7n500+7,20260517,2
TA+0k600+11,20260421,2
TA+0k600+11,20260422,2
TA+0k600+11,20260505,2
TA+0k600+11,20260506,2
TA+0k600+11,20260512,2
TA+0k600+11,20260513,2
TA+0k600+11,20260519,2
TA+0k600+11,20260520,2
TA+0k600+11,20260526,2
TA+0k600+11,20260527,2
TA+0k600+11,20260602,2
TA+0k600+11,20260603,2
TA+0k600+11,20260609,2
TA+0k600+11,20260610,2
TA+0k600+11,20260616,2
TA+0k600+11,20260617,2
TA+0k600+11,20260623,2
TA+0k600+11,20260624,2
TA+0k600+11,20260630,2
TA+0k600+11,20260701,2
TA+0k600+11,20260707,2
TA+0k600+11,20260708,2
TA+0k600+11,20260714,2
TA+0k600+11,20260715,2
